contract_address,callstack,reentrancy,time_dependency,integer_underflow,integer_overflow,money_concurrency
0xae749364cd0a3c30878cb094a4226e070c263dfc,False,True,False,False,False,True
0x52e2a44945f28ee13ec7fcb9c44573f1de87f2f5,True,False,True,False,False,True
0x6568e76006551e3f5a5ece7f3a10f920292a692c,False,False,False,False,False,False
0x9db6a068dab612e51d492ea856b34068095699bd,False,False,False,False,False,False
0x1a7acfba7c4e9da8d7d88ee7086591b6c458071c,False,False,False,False,True,False
0x71a311e90d2cf8b7d80d95e4bdf03da037653605,False,False,False,False,False,False
0x91be3f269495ef9b2052813b23e88d8130b3c822,False,False,True,False,False,True
0x12eb08e27eec735a16db29b660070cf10808de63,False,False,False,False,False,False
0x71fbd7a0f7add77bbe4e38f766cf3f4f9f1a2262,False,True,False,False,False,True
0xf0d5d04797143840b1ac26d105338b712cc9cce8,False,False,False,False,False,False
0x0404744ddd793960bc4ee03692066bb4e0560b81,False,False,False,True,True,False
0x24622426a531b4755d0df9bc37d374dd09be2632,False,True,False,False,False,True
0xc3ec3066c76e80b0643c523cbe82fc2befbb2de8,False,False,False,False,True,False
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,False,True,False,False,False,True
0x198a4cbb1eb4dbd7ded9ac5010cbc9ddf9cff4a1,False,False,False,False,True,False
0x927dc0ceae318bd3cbc4ef5d4ced5ebfe01ea81b,False,True,False,False,False,True
0xfed3338702f7899e121a7fe1299badaea5043276,False,True,False,False,False,True
0x9d7b01ed88eabd7872b1703196cdc97932b7938d,False,False,False,False,True,False
0xf4de2215761a3c55348203169b6321a16ad1f05a,False,False,False,False,False,False
0x3c1f7b84a5d5546a4775e33627d86083f320f771,False,True,False,False,False,True
0xa1916efb6f9ff61196050a3bcd5c391643334145,False,False,False,True,False,False
0x559c472c0639a37751e1f4badff287c49e83d5b6,False,False,False,False,False,False
0xe4e4b01727e546eb4160f129fc980a25746e2e94,False,False,False,False,False,False
0x5600ada3c2c2dcd5650d5d6083d3860f2bd2198d,False,False,False,True,True,False
0x1553ceee40552e62924ab9ab409123a31fc74d69,False,False,False,False,False,False
0x5a55efcbb5b998b78e2ffa16159ffb3a0a6d7094,False,False,False,False,False,True
0x868afca72d4becca53653451688f7ec85542425d,False,False,False,True,False,False
0x0de8294bdb1d00688b3adcb2ba50b5805f0119c3,False,False,False,False,True,False
0x33919245e94c64bf5405f03be35ea0c8fe48d117,False,False,False,False,True,False
0x422866a8f0b032c5cf1dfbdef31a20f4509562b0,False,False,True,False,True,True
0xb74c2851d55cd01a43bdd0878fe6c0ff984a8203,False,False,False,False,False,False
0x680fa20fe340069839ffe2164b7791be81e63187,False,False,False,True,True,True
0x7632df959ddba1bf625fade359f6b1cb0b3608af,False,False,False,False,False,False
0x8eb3b344bef069ccbd61c8b31a29437d5732607a,False,False,False,False,False,False
0x59937b125c1f7193bb451877593a1c1b23e8da93,False,True,False,False,False,True
0xb4866a081c3c9b973d76c793669266bff49c290a,False,False,False,False,False,False
0x12a5312e8a1b17e1dce070d981d150e2dd561fb6,False,True,False,False,False,True
0x7851525d37e693397e87d1d10711f9e18d1e4810,False,False,False,False,True,False
0x441158217e22c034dd4923ddefa924851d74fab0,False,False,False,False,False,False
0x683489c432581d4e64580a958ea4b51d64edac0e,False,False,False,False,False,False
0xbf8fffb2a934bcc879a4d2af6eea873515e669df,False,False,False,False,True,True
0x0b9d579384e0db79f0031bea47b7854d3e43adec,False,False,False,False,True,False
0x18fc281589762664d3d557fd16b4fb51125d5d87,False,False,False,False,False,False
0x4fa90fce56025184d748935dca18992976601ece,False,False,False,False,False,False
0x6088a529b22cc225f0780a5b29b09d34017f6c39,False,False,False,False,True,False
0xd1833acc401a6c723a90afa30a23b3c779b676cb,False,False,True,False,False,True
0xc7944e96dd36972041be10526b9684466ea8d8fd,False,False,False,False,False,False
0xc929b6692fe5c28041276505a946389138aa7fba,False,False,False,False,False,False
0x4933405f4233968516a5884d2af2d0433ee0592a,False,True,False,False,False,True
0x452adf913c1b12c040c82faa719153265f1d2501,False,False,False,False,False,False
0xaa0ad6c0db34f150f72839c76ed8beaad8413c21,False,False,False,True,False,False
0x959ea0304a58545ba2189d0e315eb36d43cde0ff,False,True,False,False,False,True
0x49f9955316c5198ad0e4bdbdebe3b3482de8e5a6,False,False,False,False,False,False
0xa81171bc4fa139eb4ed94674707977f457dcf178,False,False,False,True,False,False
0xc0167134c4002dfc6b593e1f87679ee3876d6542,False,True,False,False,False,True
0x13bcedd7b7e70a4df92d2c9f40684b60905702de,False,False,False,False,False,True
0x42e73598278bc6772383a5259174314e1994864c,False,False,False,False,False,True
0x0b6f6e073a08ab8fd458527c47ed83982ff26851,False,False,False,False,True,False
0x7d8cb4be776eb1539d6df5088f55b2a4d1a3279b,False,False,False,False,True,False
0xd43827507f05bdd679d433cf04ac26922b434c1d,False,False,False,False,False,False
0x4c5206ad917797926d95359f6c5ba75c904c9a3d,False,False,False,False,True,False
0x4c278e3ef92a42062541cf11e3bbfe2ce5dd8ff8,False,False,False,True,False,False
0x104f986a64de6b810a0b7793100994de5216071b,False,False,False,False,False,False
0xce529da64192738171d7dcab8b2bbf68c9855836,False,False,False,False,False,False
0xd8a811be41cedf80e608214426215472af79e857,False,False,False,False,False,False
0x22e5f62d0fa19974749faa194e3d3ef6d89c08d7,False,False,False,False,False,False
0xe8ce207631f9ac80688587cae05a159bd5356e78,False,False,True,False,False,False
0x9f19186a2a53cde971e9dc259520536ea3a9f55f,False,False,False,False,False,True
0x09a347a9d6ea6f319b3ff05b14cee12a8c2d3d6e,False,False,True,False,False,False
0x2ab549daa0cc037dfcb2400f8386f1be744d6e26,False,False,False,True,False,False
0x35235e7192a76709a03d2b7abb6fa36867f5e9be,False,False,False,False,False,False
0x8f8fdfe17481507874dabe87813287483984498c,False,True,False,False,False,True
0x2f71198c206421da36098c0ac5b231c8d1c941f5,False,False,False,False,True,False
0x16d9e3b56e63f33afd092fc4883df6623f7a4521,False,False,False,False,False,False
0xab5c0bd623fcd43a30d62ee8ed8daaddd8b2c2a7,False,False,False,False,True,False
0xe8b6472a46202e39af065bacae2bcf6a88c1df5a,False,False,False,False,False,False
0xad87e48d553c2308dccab428537f6d0809593ba4,False,False,False,False,False,True
0x30f10b3dd91de781323536370a9a9ba464cf6604,False,False,False,False,False,False
0xa1cb7c6056ca3924b452f9ed016776dd7c4bce5a,False,False,False,False,False,False
0x609ad10f8656758397c7c2db7efac40c1ef40eb1,False,True,False,False,False,True
0xa02dca6a1c55c0ccba8fb3d45954a28703bc683a,False,False,False,False,True,False
0xd202ef18d73efedc515b50f6959cc42d0cbf2927,False,False,False,False,False,False
0x4502c2a512dfd261a41deae34ddfc1b7233e1d2f,False,False,False,True,False,False
0xd4c435f5b09f855c3317c8524cb1f586e42795fa,False,False,False,False,False,False
0x375a8bec36dbcb77c8f6da0761e67d37216b57cb,False,False,False,False,False,False
0x5479ef180eceaa278c964a526df2b83bd4007505,False,False,False,True,True,False
0x70a680b0aba076060a01b4234dc90c56a36fb150,False,False,False,False,False,False
0x5c01441d488ddc94bc0c6023cfe1dc4ca5bbdb97,False,True,False,False,False,True
0x692ab1dd7afafe296e6f0d2a8f5a54e5c5f7392d,False,False,False,True,False,False
0xae3eb5ae6f4afbb0d150878f2f7b4eaed3953c6e,False,False,True,False,True,True
0x9946c6f5959c703d280966d3c904df379609a299,False,False,False,False,False,False
0x579f581ad35a90e71f932ce785c7947bb5f5d740,True,False,False,False,False,True
0x72c72ae1a63d1268420eff6771606b6e10be7d79,False,False,True,False,True,True
0xa047fb4ca629e7cae5cfcbeb45d4155499fbe707,False,False,False,False,False,False
0x1d31737e1999807dc377d696c574ad80de16c595,False,False,False,False,False,False
0x10a0e8924c9da0139722aeb84491f70928f317b6,False,False,False,False,False,False
0x30eb136b4930ef2079e4170acad80727411a23ee,False,False,False,False,False,True
0x36f3ff438cd96f095b1bcc03d1b197bd33777578,False,False,True,False,False,False
0x8d12bb43c8aaf7066e076fa37774233384c709a6,False,False,False,False,False,False
0x5af81dc5606b9ad03577e6e619dc81f8fb64d63f,False,False,False,False,False,False
0x2cfae4c45d31a7bb60a91f7007214249d67b22d0,False,False,False,False,True,False
0x841b1eafecf120cf9e9cea75d906f0a36d8d13d6,True,False,False,False,False,False
0xd8681c956d3a4c50fa491c4ede2bd9e0b8d29db0,False,False,False,False,False,False
0x37444febd7e3dba3e96f05dc851143ffec8b20b6,False,False,False,True,True,False
0x55b0b1f13b1a80cc4185bd3bfb0b7cb887f1c079,False,False,False,False,False,False
0x44512783946a2a5fe0bd044868825c173b0cf69a,False,False,False,True,False,False
0xe4eee7079af476d9bea1bdb6fc326d00193d7ea2,False,False,False,False,False,False
0x92ecf4385b6c2e277683b2da0c16e6a479011665,False,False,False,False,False,False
0xd1f7397aa4fa0d095f44675886254bf8ce79d448,False,False,False,False,False,False
0x47b139914074a36e2d72cfd86fe780d3255974ca,False,False,False,True,False,False
0x33efb10ffa44f88816ded84fa68492b7d85ffc71,False,False,False,True,False,False
0x6903cc6ead73636cc8dd41f97ab2ae3501c15081,False,False,False,False,True,True
0x3fc9418d006c54ad5ce0c20007f0628a071eabb3,False,False,False,True,False,False
0x4edadd5b7c6328e062d240d912d0ebbfba0e7f76,False,False,False,False,False,False
0xa8f8fdad7d6514288a5dea2b8d6f7f2cc3ee5eb2,False,False,False,True,False,False
0x992b4e3c40557ffddd482f47f646fee43ccdf038,False,False,False,True,False,False
0x9fcffaf79ed1b9af88b1071ec24953f43e6f9ea1,False,False,False,True,True,False
0x01e3f20eb16636e8031a7efbff7b8d17c6f551b8,False,True,False,False,False,True
0x42c1b347c470d746d096e3b1420a31b29f35291a,False,False,False,True,False,False
0x1cc5e5dc30ac29bc909d5fef3ba0c4e7e62d9ea2,False,False,False,False,False,False
0xf1a98d474e5ca4f72c7a1df864a884e3a06d0497,False,False,False,True,False,False
0x79c8165c11c4fd5a0409870c7cc295c38b87c827,False,False,False,False,False,False
0xc6b012957765cebb061c87fd1144ad49a7a2ad5a,False,False,False,False,False,False
0x0c78cc84554615b4b21f02c1b30d2401a310e6d6,False,False,False,False,False,False
0xc7852e60b68611244b3fcf7b15c7192fd9005669,False,False,False,True,False,False
0xac9d1b54e446a64e19cf4adffbc1948dc2ab8f0c,False,False,False,False,True,False
0xefd66046f08851868cd2e20015bd1437330b395f,False,False,False,False,True,False
0x3fedeb84209ed302c0ce9279e300312349887c33,False,False,False,False,False,False
